Code;Formatie;qc*(100/s'v)0,67;gbov;gond;c';f';Su;Su/s'v;m;POP;;G0;Eo;n;a;b;c;;damping;;
;;[MN/m2];[kN/m3];[kN/m3];[kPa];[degr];[kPa];[-];[-];[kPa];;[MPa];[MPa];[-];[-];[-];[-];;[-];;
H_Aa_ht_ophoging;NaN;10;17;19;0;32.5;NaN;NaN;NaN;NaN;;41.3;103.3;0.25;0.001;0.004;0.0001;;0.05;;
H_Aa_ht;NaN;10;17;19;0;32.5;NaN;NaN;NaN;NaN;;41.3;103.3;0.25;0.001;0.004;0.0001;;0.05;;
H_Rg_zm;Echteld;5;17;19;0;30;NaN;NaN;NaN;NaN;;37.7;94.3;0.25;0.001;0.004;0.0001;;0.05;;
H_Rg_zf;Echteld;5;17;19;0;30;NaN;NaN;NaN;NaN;;57.2;143;0.25;0.001;0.004;0.0001;;0.05;;
H_Rk_k;Echteld;0.5;14;14;0;17.5;25;0.22;0.8;15;;15;43.5;0.45;0.0112;0.1507;0.0074;;0.05;;
H_Rk_k&v;Echteld;0.2;12;12;0;15;10;0.2;0.8;15;;10.6;30.7;0.45;0.0192;0.2322;0.014;;0.05;H_Rk_Ko;H_Rk_Vk
H_Rk_z&k;Echteld;0.7;15;15;0;22.5;40;0.22;0.8;8;;19.4;56.3;0.45;0.0088;0.1174;0.0051;;0.05;;
H_Rk_ko;Echteld;0.2;13;13;0;15;10;0.2;0.8;15;;12.3;35.7;0.45;0.0145;0.189;0.0103;;0.05;;
H_Rk_vk;Echteld;0.1;11;11;1;15;10;0.24;0.8;15;;8.9;25.7;0.45;0.0261;0.2804;0.0187;;0.05;H_Vhv_v;H_Rk_k
H_Ro_z&k;Echteld;1;18;18;0;27.5;40;0.22;0.8;8;;35.3;98.8;0.4;0.0046;0.0473;0.0015;;0.05;;
H_Rr_o&z;Echteld;0.2;14;14;0;15;10;0.2;0.8;15;;15.9;46;0.45;0.0112;0.1507;0.0074;;0.05;H_Rk_ko;H_Rk_z&k
H_Vhv_v;Nieuwkoop;0.1;10;10;1;15;10;0.28;0.8;1;;2.7;7.8;0.45;0.0364;0.3335;0.0245;;0.05;;
H_Vbv_v;Nieuwkoop;0.2;12;12;2.5;15;20;0.3;0.8;15;;13.5;39.2;0.45;0.0192;0.2322;0.014;;0.05;;
P_Rk_k&s;Wijchen;0.5;14;14;0;17.5;25;0.22;0.8;10;;23;66.7;0.45;0.0112;0.1507;0.0074;;0.05;;
P_Wdz_zf;Boxtel;5;17;19;0;30;NaN;NaN;NaN;NaN;;97.7;244.3;0.25;0.001;0.004;0.0001;;0.05;;
P_Wls_s;Boxtel (Liempde);1;15.6;16.2;0;27.5;50;0.3;0.8;10;;81.7;225.3;0.4;0.0067;0.084;0.0032;;0.05;P_Wdz_zf;P_Rbk_kz
P_Rbk_kz;Boxtel;0.7;15;15;0;22.5;40;0.22;0.8;10;;74.9;217.2;0.45;0.0088;0.1174;0.0051;;0.05;;
P_Rbk_z&s;Boxtel;2;15.67;16.33;0;27.5;50;0.22;0.8;10;;82.5;226.2;0.4;0.0065;0.0807;0.0031;;0.05;P_Wdz_zf;P_Rbk_kz
P_Rbk_vk;Boxtel;0.2;12;12;0;15;10;0.2;0.8;15;;10.6;30.7;0.45;0.0192;0.2322;0.014;;0.05;H_Rk_k&v;
P_Rg_zf;Kreftenheye;5;17;19;0;30;NaN;NaN;NaN;NaN;;67.7;169.3;0.25;0.001;0.004;0.0001;;0.05;;
P_Rg_zm;Kreftenheye;5;17;19;0;30;NaN;NaN;NaN;NaN;;47.3;118.3;0.25;0.001;0.004;0.0001;;0.05;;
P_Rg_zg;Kreftenheye;10;18;20;0;32.5;NaN;NaN;NaN;NaN;;40.2;100.5;0.25;0.001;0.004;0.0001;;0.05;;
H_Mp_k;Naaldwijk;0.7;15;15;0;22.5;40;0.22;0.8;7;;17.2;49.9;0.45;0.0088;0.1174;0.0051;;0.05;H_Rk_k;H_RK_z&k
H_Mp_ko;Naaldwijk;0.2;13;13;0;15;10;0.2;0.8;15;;10.6;30.7;0.45;0.0145;0.189;0.0103;;0.05;H_Rk_Ko;H_Rk_Vk
P_Mp_k;Eem;1;19;19;0;27.5;50;0.22;0.8;15;;17.2;62.3;0.4;0.0038;0.0338;0.001;;0.05;H_Rk_k;H_Rk_z&k 
P_Gs_zg;Drente;10;18;20;0;32.5;NaN;NaN;NaN;NaN;;33.8;84.5;0.25;0.001;0.004;0.0001;;0.05;;
